order_id,risk_score,risk_band,top_3_risk_reasons,recommended_action,evidence_fields
O000002574,40,High,"Late night order, Unusual quantity, Multiple coupon usage",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=14
O000001872,35,High,"Unusual quantity, Multiple coupon usage, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=27
O000004057,35,High,"High discount usage, Late night order, Device reused across users",Hold for manual review,discount_pct=0.32; payment_failures=0; device_reuse=15; total_qty=2
O000002634,35,High,"Unusual quantity, Multiple coupon usage, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=23
O000004554,35,High,"Late night order, Device reused across users, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=8
O000003808,35,High,"Unusual quantity, Multiple coupon usage, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=21
O000000180,35,High,"Late night order, Device reused across users, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=14; total_qty=7
O000001356,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000004234,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=27
O000000295,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000003188,30,High,"High discount usage, Device reused across users",Hold for manual review,discount_pct=0.38; payment_failures=0; device_reuse=14; total_qty=3
O000001964,30,High,"Late night order, Multiple coupon usage, Device reused across users",Hold for manual review,discount_pct=0.1; payment_failures=0; device_reuse=11; total_qty=4
O000001811,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=0; total_qty=12
O000002627,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000000363,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=19
O000001062,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=12
O000000373,30,High,"Late night order, Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=11
O000003582,25,High,"Multiple coupon usage, Device reused across users",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=11; total_qty=8
O000004051,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=27
O000003405,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000004492,25,High,"Multiple coupon usage, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=11; total_qty=1
O000003633,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=28
O000003401,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000004546,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=27
O000001848,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000001600,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000000089,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=11
O000000502,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=26
O000000060,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=25
O000002860,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=18
O000001287,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=1; total_qty=11
O000002743,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000001025,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=12
O000000824,25,High,"Multiple coupon usage, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=7
O000002355,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=26
O000002973,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000004469,25,High,"Multiple coupon usage, Device reused across users",Hold for manual review,discount_pct=0.12; payment_failures=0; device_reuse=11; total_qty=3
O000004548,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=11
O000002614,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000003819,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=12
O000001150,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000001193,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=11
O000003952,25,High,"Late night order, Unusual quantity, Multiple coupon usage",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=20
O000001073,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=14
O000004271,25,High,"Unusual quantity, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=12
O000002058,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=10; total_qty=6
O000002013,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=10; total_qty=1
O000002018,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001977,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000001934,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001928,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000000474,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000000072,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=5
O000001622,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=5
O000001664,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001628,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000001668,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=5
O000004594,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.08; payment_failures=0; device_reuse=10; total_qty=6
O000001810,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=4
O000001723,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=5
O000001754,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000003027,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000000814,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=9
O000003127,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000003156,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000001402,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000002239,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=5
O000004467,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=7
O000002204,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000003275,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=7
O000004094,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000000750,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.24; payment_failures=0; device_reuse=15; total_qty=2
O000000784,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=7
O000003488,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000002191,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000000693,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000003457,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=10; total_qty=8
O000002115,20,High,"Unusual quantity, Multiple coupon usage",Hold for manual review,discount_pct=0.05; payment_failures=0; device_reuse=1; total_qty=18
