session_id,session_ts,user_id,channel,device,device_id,ip_hash,pincode,promo_flag
S000000001,2025-08-03 01:33:26,U000830,organic,web,D3ad8313ef6,IP53d61d8177,575139,0
S000000002,2025-08-03 18:17:20,U003076,organic,web,Db1597eda25,IPd4ed940db0,572769,0
S000000003,2025-08-03 11:57:11,U000738,organic,web,De27814288f,IP684e5b3f12,579266,0
S000000004,2025-08-03 14:10:12,U001394,organic,web,Db2a54c1872,IPb3662a3fbb,563966,0
S000000005,2025-08-03 00:02:41,U001375,email,web,D_RING_05,IP_RING_SHAR,565894,0
S000000006,2025-08-03 09:39:41,,paid_social,web,D_G_b6c50ad3c7,IP838438a8bf,564115,0
S000000007,2025-08-03 16:10:11,U000781,organic,mobile,D40dcb0ecfc,IPd751a74cfc,574360,0
S000000008,2025-08-03 07:22:09,U001212,search,web,D9fba2f3be7,IP318081aca2,574441,0
S000000009,2025-08-03 23:24:02,,email,mobile,D_G_83f43ee790,IPc0a38e63ca,569874,0
S000000010,2025-08-03 09:49:24,U001761,organic,mobile,D4ce9f38333,IP7f88f55d96,571631,0
S000000011,2025-08-03 21:34:29,U003086,search,web,D7c578950ae,IPd929df5fa4,578963,0
S000000012,2025-08-03 11:49:01,,search,web,D_G_4f013eb2a4,IP822d91b2e0,568619,0
S000000013,2025-08-03 19:17:11,U001821,organic,mobile,Df5d18f8e71,IP4f2e61a3e6,563966,0
S000000014,2025-08-03 22:53:24,U000742,referral,web,Dbb573fd697,IP8dfd44d6e7,578600,0
S000000015,2025-08-03 06:32:39,U000650,organic,web,D669b2628d9,IP510e7305b4,579501,0
S000000016,2025-08-03 18:37:29,U000359,search,web,D52a4a2f0ba,IPadc73e93e1,571561,0
S000000017,2025-08-03 22:40:10,U001326,paid_social,mobile,D_RING_02,IP_RING_SHAR,563967,0
S000000018,2025-08-03 09:35:05,,paid_social,web,D_G_1b6a615b8b,IP7019562752,565473,0
S000000019,2025-08-03 11:34:25,U002854,paid_social,web,D6dc57e3d4e,IP6065a07057,576088,0
S000000020,2025-08-03 18:24:43,U001867,paid_social,mobile,De4c1530592,IP7372de5018,573828,0
S000000021,2025-08-03 06:13:30,U000826,referral,web,Decbc1c4b25,IPe99146aaa8,579260,0
S000000022,2025-08-03 17:33:21,U002060,referral,web,D9be7b13e50,IP64c1cc6df4,577965,0
S000000023,2025-08-03 03:59:15,,paid_social,mobile,D_G_59d34f62e3,IP20a4054f02,565428,0
S000000024,2025-08-03 22:25:04,U002508,search,web,D2f44e18126,IP97905478ad,568375,0
S000000025,2025-08-03 17:07:58,,referral,mobile,D_G_a23627db56,IP8daf81847d,562903,0
S000000026,2025-08-03 18:24:46,U000766,paid_social,web,Dcc2b2fffaf,IPa1a54f0fe0,571541,0
S000000027,2025-08-03 16:48:21,,referral,web,D_G_cfe83e2503,IPebba9ea380,565473,0
S000000028,2025-08-03 12:00:08,,organic,mobile,D_G_a7e25fe5ce,IP6cfe50dccd,561585,0
S000000029,2025-08-03 04:49:59,U001185,organic,mobile,D9542b7dede,IPef9930f67f,579884,0
S000000030,2025-08-03 03:58:15,U002282,search,mobile,D2e55f5813a,IPfbe2fa9f52,572398,0
S000000031,2025-08-03 13:09:55,,search,mobile,D_G_7d9a5ae9e9,IP910a7918b6,563108,0
S000000032,2025-08-03 23:50:10,U002673,search,mobile,D8ff2235598,IP6027aa2ca0,571561,0
S000000033,2025-08-03 00:38:41,U001315,referral,mobile,Dbfca2db645,IP6706f267fe,569539,0
S000000034,2025-08-03 01:18:11,U002063,email,web,D0477d9dc43,IP37f3cac09b,578600,0
S000000035,2025-08-03 06:57:46,,email,web,D_G_4f645e00da,IP57b2681d3a,565428,0
S000000036,2025-08-03 00:32:16,U002722,paid_social,mobile,Df41765aa06,IP8d440ca2e2,565285,0
S000000037,2025-08-03 05:37:54,U002606,organic,mobile,Dc856720d36,IP92b3a8931f,568375,0
S000000038,2025-08-03 10:15:30,U001718,organic,mobile,D81352667ca,IP785219a3eb,565285,0
S000000039,2025-08-03 23:06:13,U001104,search,web,D0fc4563c7d,IPba5cf24689,577934,0
S000000040,2025-08-03 03:58:19,U001583,search,web,D31091fae94,IPe18922a728,579236,0
S000000041,2025-08-03 03:31:09,,paid_social,web,D_G_8ff9eb19a9,IPb111e2e6e7,564231,0
S000000042,2025-08-03 00:00:54,U001087,organic,web,D5a2ac62d13,IP7bd359c857,575439,0
S000000043,2025-08-03 02:59:25,U001225,organic,mobile,Dc8626af76d,IP733a763aad,575614,0
S000000044,2025-08-03 07:58:45,U002501,organic,web,D_RING_03,IP_RING_SHAR,569539,0
S000000045,2025-08-03 01:06:03,U001844,organic,mobile,D918fedbb1f,IP341f7a264c,579609,0
S000000046,2025-08-03 22:27:14,U000364,organic,mobile,D70484ff9e3,IP3ab76378e6,572901,0
S000000047,2025-08-03 21:22:17,U000403,search,mobile,D02fe831657,IP5bbbb93340,563967,0
S000000048,2025-08-03 12:59:39,U002493,paid_social,mobile,D7168fa60dd,IP2c231c8385,577522,0
S000000049,2025-08-03 20:11:00,U000826,search,mobile,Decbc1c4b25,IP96a0629a63,579260,0
S000000050,2025-08-03 20:58:19,,search,web,D_G_9374465b1d,IPc4d381868b,565428,0
S000000051,2025-08-03 10:39:54,U001827,search,mobile,Dac0d01ac75,IP5cb1af741d,572398,0
S000000052,2025-08-03 21:03:44,,organic,web,D_G_83e3ae6328,IP83492ab786,562975,0
S000000053,2025-08-03 12:26:24,,search,mobile,D_G_0166ce30c5,IP783438d26a,565411,0
S000000054,2025-08-03 13:11:39,U002369,search,mobile,D939fca8298,IP2edd305f93,568518,0
S000000055,2025-08-03 07:38:13,U002650,referral,mobile,D7e75508ed8,IP55ea1bf4ad,579260,0
S000000056,2025-08-03 03:55:22,,referral,mobile,D_G_02da183771,IPbf0fda5f0c,566103,0
S000000057,2025-08-03 03:58:52,U003016,search,web,D0857d942a0,IP2136f63773,577742,0
S000000058,2025-08-03 04:19:55,,search,web,D_G_0992cf4238,IP26e8abe890,562044,0
S000000059,2025-08-03 17:58:23,U001049,search,mobile,De869d0e9b9,IP792ccf2316,576422,0
S000000060,2025-08-03 23:06:10,,search,mobile,D_G_d254953538,IP726ffad9d5,564339,0
S000000061,2025-08-03 20:37:33,U001453,organic,mobile,Dba73d31fa6,IPc5dc85cfbd,577970,0
S000000062,2025-08-03 16:22:15,U001754,email,web,D2e1f08d6a0,IP1c2bc2c9e8,563967,0
S000000063,2025-08-03 12:15:42,U002122,organic,web,D853b785640,IP630de5bfca,571222,0
S000000064,2025-08-03 04:25:35,U000452,organic,web,D88998ad284,IPe77c667f95,575692,0
S000000065,2025-08-03 00:39:01,U001492,email,mobile,Dc622734c09,IP39b2d81368,575439,0
S000000066,2025-08-03 14:11:43,U001656,search,web,D6f83aa2016,IPa7903ba390,579609,0
S000000067,2025-08-03 11:10:11,U002487,organic,web,D962ff7ae2e,IP07d43febde,573709,0
S000000068,2025-08-03 22:18:34,U002277,search,web,Dd5f7cbacb2,IP299692be65,578600,0
S000000069,2025-08-03 23:57:54,,paid_social,web,D_G_b61bd521bb,IPb0adf9772d,565428,0
S000000070,2025-08-03 21:57:21,U000218,search,web,Dd5bb3005fd,IPde237bb4e7,579266,0
S000000071,2025-08-03 13:21:26,U001402,organic,web,D9bcefce241,IPb55a2fad34,568375,0
S000000072,2025-08-03 20:14:15,U002956,paid_social,mobile,D9902bf8529,IPa9f51cb4e3,574621,0
S000000073,2025-08-03 02:12:47,U000679,organic,mobile,D5d7067b53a,IP27c93a0016,574441,0
S000000074,2025-08-03 22:33:38,,paid_social,web,D_G_e7f79c1d3b,IPc6a67b207f,561909,0
S000000075,2025-08-03 07:48:58,U000218,referral,web,Dd5bb3005fd,IPe5c2249094,579266,0
S000000076,2025-08-03 15:12:56,U001702,email,web,D3d9644d730,IPb870efa9f5,576334,0
S000000077,2025-08-03 01:14:55,U001918,referral,mobile,D7f04e44c82,IP8832272300,576422,0
S000000078,2025-08-03 21:14:49,U000806,organic,mobile,D05f2c735e0,IPa1ad23ab55,568375,0
S000000079,2025-08-03 15:07:35,U000843,search,web,D12d5723d98,IP56aa926556,571647,0
S000000080,2025-08-03 02:53:21,U000216,search,web,Dc05d2ed78e,IP33b95d8a9d,579609,0
S000000081,2025-08-03 23:11:41,,search,web,D_G_0230c1c90e,IP3378e2edc4,562044,0
S000000082,2025-08-03 18:34:39,U001603,search,web,D050fa65f99,IP3b22a4f1c8,577934,0
S000000083,2025-08-03 20:35:05,U001046,paid_social,web,D38f43a5d74,IPe8a2347e09,578796,0
